Model,RMSE Base,R² Base,RMSE A (BCN Q3),R² A (BCN Q3),RMSE B (Sevilla),R² B (Sevilla),ΔRMSE A,ΔRMSE B
XGBoost,0.3712871781460952,0.7604721190096275,0.40911805782715566,0.7516425296907909,0.5731005618350336,0.32636768854622256,0.03783087968106047,0.20181338368893836
Random Forest,0.372910084723338,0.7583735765646253,0.3943640046410426,0.769232595326979,0.583183222020977,0.30245651963313946,0.021453919917704622,0.21027313729763908
LASSO,0.4452021163703048,0.6556099390298473,0.5049023401850199,0.6217362733882681,0.5799803755695284,0.310097307853168,0.05970022381471507,0.1347782591992236
OLS,0.4471006616182627,0.6526664029319461,0.5054988032001576,0.6208420268282626,0.5810010904260328,0.30766683393701355,0.058398141581894936,0.1339004288077701
CART,0.4894613409941002,0.5837320632956838,0.4933997893970196,0.6387749588841896,0.6718214266626439,0.0743028137849765,0.003938448402919403,0.18236008566854367
