Model,RMSE (log),R²,Fit time (sec)
XGBoost,0.3712871781460952,0.7604721190096275,51.37897319998592
Random Forest,0.372910084723338,0.7583735765646253,216.0239438000135
LASSO,0.4452021163703048,0.6556099390298473,10.833207299991045
OLS,0.4471006616182627,0.6526664029319461,0.32616000005509704
CART,0.4894613409941002,0.5837320632956838,26.050099299987778
