Model,RMSE A (BCN Q3),R² A (BCN Q3),RMSE B (Sevilla),R² B (Sevilla)
OLS,0.5054988032001576,0.6208420268282626,0.5810010904260328,0.30766683393701355
LASSO,0.5049023401850199,0.6217362733882681,0.5799803755695284,0.310097307853168
Random Forest,0.3943640046410426,0.769232595326979,0.583183222020977,0.30245651963313946
XGBoost,0.40911805782715566,0.7516425296907909,0.5731005618350336,0.32636768854622256
CART,0.4933997893970196,0.6387749588841896,0.6718214266626439,0.0743028137849765
